"","agregador","funcao_tipica","valor"
"1","Abono Salarial","11 - Trabalho",17972921705
"2","Ações de Emprego, Trabalho e Renda","04 - Administração",104387443
"3","Ações de Previdência Social","03 - Essencial à Justiça",1.8e+07
"4","Ações de Previdência Social","04 - Administração",313550983
"5","Ações de Previdência Social","06 - Segurança Pública",113200000
"6","Ações de Previdência Social","09 - Previdência Social",4321264242
"7","Ações de Previdência Social","22 - Indústria",2e+06
"8","Adequação, Modernização e Fiscalização de Imóveis","04 - Administração",2866876
"9","Anistiados Políticos","28 - Encargos Especiais",597770060
"10","Aperfeiçoamento da Gestão Pública","04 - Administração",8865758
"11","Atualização Monetária dos Recursos de Fundos","28 - Encargos Especiais",67672768
"12","Auditoria e Fiscalização Tributária e Aduaneira","04 - Administração",80968457
"13","Auxílio-Moradia","04 - Administração",4677152
"14","Benefícios ao Servidor","10 - Saúde",981983164
"15","Censo Demográfico e Agropecuário","04 - Administração",2e+08
"16","Cobertura do Resíduo Resultante de Contratos","28 - Encargos Especiais",225727429
"17","Concessão de Bolsas","19 - Ciência e Tecnologia",4160406
"18","Construção, Reforma e Ampliação de Infraestruturas","22 - Indústria",1200000
"19","Contr. a Org. e Ent. Nacionais e Internacionais","28 - Encargos Especiais",5336214
"20","Cumprimento de Sentença Judicial","28 - Encargos Especiais",667714556
"21","Demais","04 - Administração",88614614
"22","Demais","06 - Segurança Pública",69001
"23","Demais","07 - Relações Exteriores",282000
"24","Demais","11 - Trabalho",4478521
"25","Demais","12 - Educação",5e+05
"26","Demais","19 - Ciência e Tecnologia",7343802
"27","Demais","22 - Indústria",2e+06
"28","Demais","23 - Comércio e Serviços",8440347
"29","Demais","28 - Encargos Especiais",22072635
"30","Financiamento de Programas de Desenvolvimento Econômico","11 - Trabalho",18621468177
"31","Fiscalização de Obrigações Trabalhistas","04 - Administração",24590706
"32","Fortalecimento das Ações de Autoridade Monetária","04 - Administração",27261900
"33","Fortalecimento Institucional","04 - Administração",1.13e+08
"34","Funcionamento das Unidades Descentralizadas","04 - Administração",80252171
"35","Gestão da Rede de Atendimento","11 - Trabalho",20453025
"36","Gestão de Sistemas Informatizados e TI","04 - Administração",1140848893
"37","Gestão de Sistemas Informatizados e TI","19 - Ciência e Tecnologia",2050000
"38","Gestão de Sistemas Informatizados e TI","23 - Comércio e Serviços",38664189
"39","Gestão do Patrimônio","04 - Administração",69859371
"40","Inativo","28 - Encargos Especiais",920288168
"41","Indenização a Servidores em Localidades de Fronteira","28 - Encargos Especiais",29600676
"42","Integralização de Cotas - Demais intituições","28 - Encargos Especiais",47400000
"43","Manutenção","04 - Administração",2118743054
"44","Metrologia e Avaliação da Qualidade","04 - Administração",261310000
"45","Metrologia e Avaliação da Qualidade","22 - Indústria",6305000
"46","Pesquisas e Estudos Estatísticos","04 - Administração",14704668
"47","Pesquisas e Estudos Estatísticos","12 - Educação",533195
"48","Promoção e Desenvolvimento Econômico","22 - Indústria",9367051
"49","Promoção e Desenvolvimento Econômico","23 - Comércio e Serviços",757092
"50","Qualificação Social e Profissional de Trabalhadores","04 - Administração",10261471
"51","Qualificação Social e Profissional de Trabalhadores","11 - Trabalho",7151009
"52","Recuperação de Créditos","03 - Essencial à Justiça",239881350
"53","Remuneração a Agentes Financeiros","28 - Encargos Especiais",1.8e+08
"54","Reserva de Contingência","99 - Reserva de Contingência",4626950847
"55","Seguro Desemprego","04 - Administração",130000
"56","Seguro Desemprego","11 - Trabalho",40958490792
"57","Sem agregador","04 - Administração",12022403665
"58","Sem agregador","06 - Segurança Pública",1090455
"59","Sem agregador","09 - Previdência Social",17167343553
"60","Sem agregador","22 - Indústria",23541534
"61","Sem agregador","28 - Encargos Especiais",4165033473
"62","Sentenças Judiciais e Precatórios - OCC","28 - Encargos Especiais",22124903724
